seed,0to0,0to1,0to2,0to3,0to4,0to5,0to6,0to7,0to8,0to9,0to10,1to0,1to1,1to2,1to3,1to4,1to5,1to6,1to7,1to8,1to9,1to10,2to0,2to1,2to2,2to3,2to4,2to5,2to6,2to7,2to8,2to9,2to10,3to0,3to1,3to2,3to3,3to4,3to5,3to6,3to7,3to8,3to9,3to10,4to0,4to1,4to2,4to3,4to4,4to5,4to6,4to7,4to8,4to9,4to10,5to0,5to1,5to2,5to3,5to4,5to5,5to6,5to7,5to8,5to9,5to10,6to0,6to1,6to2,6to3,6to4,6to5,6to6,6to7,6to8,6to9,6to10,7to0,7to1,7to2,7to3,7to4,7to5,7to6,7to7,7to8,7to9,7to10,8to0,8to1,8to2,8to3,8to4,8to5,8to6,8to7,8to8,8to9,8to10,9to0,9to1,9to2,9to3,9to4,9to5,9to6,9to7,9to8,9to9,9to10,10to0,10to1,10to2,10to3,10to4,10to5,10to6,10to7,10to8,10to9,10to10
0,594.0,713.0,280.0,91.0,49.0,38.0,165.0,218.0,288.0,14.0,17.0,685.0,755.0,335.0,115.0,49.0,42.0,216.0,252.0,301.0,15.0,19.0,281.0,330.0,128.0,50.0,26.0,21.0,77.0,116.0,118.0,14.0,4.0,84.0,119.0,57.0,26.0,11.0,8.0,29.0,38.0,55.0,1.0,3.0,36.0,53.0,28.0,10.0,4.0,3.0,17.0,18.0,25.0,0.0,0.0,42.0,51.0,19.0,4.0,5.0,3.0,18.0,32.0,20.0,1.0,1.0,204.0,205.0,106.0,27.0,21.0,12.0,44.0,73.0,75.0,3.0,5.0,255.0,279.0,110.0,51.0,13.0,20.0,59.0,98.0,88.0,10.0,6.0,253.0,256.0,121.0,42.0,24.0,19.0,83.0,109.0,97.0,8.0,3.0,11.0,13.0,6.0,2.0,1.0,1.0,6.0,6.0,10.0,0.0,0.0,16.0,24.0,8.0,3.0,2.0,0.0,12.0,8.0,7.0,0.0,0.0
1,630.0,693.0,284.0,101.0,55.0,49.0,181.0,265.0,273.0,14.0,17.0,670.0,732.0,309.0,112.0,58.0,43.0,205.0,275.0,276.0,21.0,12.0,293.0,324.0,114.0,42.0,23.0,16.0,74.0,99.0,114.0,11.0,9.0,107.0,117.0,55.0,21.0,10.0,5.0,28.0,43.0,42.0,5.0,4.0,60.0,55.0,24.0,7.0,3.0,3.0,16.0,23.0,14.0,0.0,1.0,54.0,57.0,22.0,7.0,5.0,0.0,21.0,24.0,19.0,1.0,1.0,177.0,202.0,75.0,40.0,16.0,15.0,57.0,70.0,84.0,4.0,5.0,233.0,288.0,124.0,47.0,19.0,16.0,78.0,84.0,102.0,8.0,3.0,259.0,293.0,104.0,44.0,26.0,23.0,58.0,93.0,114.0,3.0,5.0,13.0,17.0,10.0,1.0,1.0,0.0,3.0,4.0,5.0,0.0,1.0,24.0,20.0,8.0,2.0,2.0,1.0,8.0,7.0,6.0,1.0,1.0
2,625.0,711.0,319.0,96.0,50.0,49.0,187.0,268.0,262.0,10.0,12.0,671.0,765.0,261.0,118.0,45.0,46.0,216.0,282.0,285.0,17.0,20.0,300.0,339.0,129.0,47.0,16.0,20.0,76.0,134.0,111.0,5.0,4.0,103.0,117.0,32.0,20.0,9.0,8.0,28.0,30.0,42.0,5.0,2.0,54.0,50.0,22.0,7.0,2.0,3.0,15.0,11.0,17.0,0.0,1.0,37.0,49.0,23.0,8.0,5.0,4.0,16.0,21.0,18.0,1.0,1.0,186.0,198.0,70.0,23.0,21.0,11.0,51.0,80.0,69.0,7.0,4.0,255.0,263.0,107.0,32.0,25.0,15.0,87.0,99.0,104.0,7.0,7.0,261.0,287.0,125.0,51.0,16.0,14.0,91.0,110.0,87.0,9.0,13.0,13.0,15.0,6.0,2.0,3.0,1.0,5.0,2.0,4.0,0.0,0.0,18.0,14.0,9.0,6.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0
3,610.0,710.0,308.0,123.0,55.0,45.0,186.0,260.0,253.0,14.0,13.0,696.0,810.0,328.0,124.0,50.0,56.0,208.0,249.0,268.0,18.0,13.0,293.0,291.0,130.0,40.0,29.0,15.0,85.0,128.0,124.0,7.0,4.0,98.0,118.0,47.0,12.0,14.0,8.0,32.0,30.0,45.0,1.0,1.0,42.0,57.0,23.0,11.0,1.0,4.0,12.0,22.0,29.0,1.0,2.0,42.0,63.0,16.0,5.0,3.0,2.0,12.0,16.0,23.0,3.0,2.0,147.0,189.0,76.0,24.0,7.0,10.0,46.0,67.0,74.0,5.0,3.0,231.0,282.0,104.0,50.0,23.0,17.0,71.0,94.0,98.0,5.0,8.0,263.0,291.0,132.0,50.0,18.0,10.0,85.0,101.0,95.0,3.0,7.0,17.0,14.0,9.0,2.0,4.0,0.0,6.0,3.0,5.0,0.0,0.0,17.0,20.0,8.0,2.0,2.0,0.0,5.0,3.0,8.0,0.0,1.0
4,598.0,671.0,286.0,108.0,54.0,51.0,194.0,265.0,250.0,7.0,15.0,662.0,789.0,287.0,120.0,59.0,47.0,209.0,285.0,259.0,12.0,20.0,287.0,303.0,119.0,49.0,23.0,10.0,99.0,110.0,113.0,8.0,8.0,94.0,125.0,46.0,13.0,9.0,7.0,36.0,38.0,34.0,1.0,6.0,54.0,58.0,29.0,9.0,4.0,5.0,12.0,18.0,21.0,1.0,2.0,43.0,49.0,21.0,4.0,4.0,6.0,9.0,24.0,16.0,1.0,2.0,152.0,199.0,81.0,30.0,11.0,13.0,46.0,77.0,84.0,2.0,5.0,233.0,317.0,119.0,44.0,17.0,20.0,83.0,104.0,107.0,8.0,5.0,246.0,295.0,98.0,59.0,29.0,19.0,78.0,120.0,125.0,10.0,4.0,11.0,21.0,6.0,2.0,1.0,3.0,3.0,5.0,7.0,0.0,2.0,22.0,14.0,8.0,5.0,1.0,3.0,3.0,6.0,9.0,0.0,2.0
5,612.0,718.0,269.0,109.0,52.0,51.0,178.0,247.0,306.0,15.0,14.0,639.0,759.0,310.0,114.0,55.0,55.0,205.0,272.0,255.0,17.0,17.0,291.0,330.0,137.0,44.0,27.0,15.0,78.0,135.0,137.0,10.0,13.0,81.0,119.0,52.0,25.0,10.0,9.0,29.0,33.0,29.0,2.0,4.0,51.0,64.0,20.0,12.0,3.0,5.0,19.0,23.0,30.0,0.0,0.0,56.0,50.0,21.0,7.0,4.0,1.0,12.0,25.0,22.0,0.0,0.0,183.0,204.0,82.0,23.0,13.0,12.0,59.0,69.0,70.0,3.0,4.0,217.0,240.0,116.0,39.0,18.0,14.0,66.0,106.0,108.0,7.0,4.0,274.0,294.0,117.0,43.0,34.0,11.0,64.0,102.0,125.0,5.0,7.0,15.0,12.0,6.0,2.0,0.0,2.0,2.0,8.0,6.0,0.0,0.0,15.0,21.0,8.0,4.0,0.0,1.0,2.0,7.0,4.0,0.0,0.0
6,582.0,710.0,274.0,109.0,49.0,46.0,204.0,254.0,263.0,15.0,19.0,692.0,763.0,326.0,108.0,55.0,38.0,217.0,292.0,280.0,22.0,22.0,258.0,307.0,124.0,48.0,24.0,22.0,78.0,120.0,112.0,3.0,4.0,105.0,100.0,49.0,14.0,8.0,8.0,34.0,53.0,49.0,0.0,3.0,64.0,57.0,18.0,6.0,9.0,3.0,15.0,36.0,24.0,1.0,1.0,41.0,44.0,17.0,10.0,2.0,2.0,8.0,20.0,13.0,0.0,0.0,173.0,185.0,92.0,32.0,18.0,6.0,43.0,77.0,81.0,6.0,4.0,258.0,286.0,130.0,30.0,23.0,28.0,72.0,92.0,119.0,9.0,7.0,242.0,280.0,111.0,40.0,23.0,21.0,83.0,118.0,89.0,3.0,4.0,11.0,15.0,8.0,0.0,0.0,2.0,3.0,7.0,3.0,0.0,0.0,16.0,16.0,7.0,2.0,0.0,0.0,9.0,10.0,4.0,0.0,0.0
7,620.0,624.0,298.0,121.0,60.0,31.0,163.0,251.0,276.0,16.0,17.0,638.0,773.0,319.0,106.0,56.0,39.0,186.0,293.0,322.0,17.0,17.0,258.0,304.0,141.0,52.0,29.0,20.0,65.0,112.0,116.0,9.0,6.0,105.0,130.0,51.0,22.0,11.0,6.0,38.0,40.0,51.0,2.0,1.0,53.0,48.0,31.0,6.0,2.0,2.0,17.0,30.0,23.0,0.0,1.0,32.0,48.0,26.0,9.0,7.0,1.0,17.0,21.0,22.0,1.0,1.0,178.0,217.0,81.0,32.0,13.0,9.0,63.0,70.0,76.0,3.0,3.0,243.0,291.0,128.0,41.0,12.0,19.0,74.0,100.0,106.0,4.0,4.0,288.0,289.0,121.0,46.0,20.0,18.0,75.0,88.0,112.0,7.0,7.0,12.0,19.0,5.0,5.0,1.0,1.0,4.0,5.0,6.0,0.0,1.0,13.0,13.0,2.0,1.0,1.0,0.0,3.0,4.0,6.0,0.0,2.0
8,586.0,685.0,295.0,90.0,46.0,36.0,167.0,246.0,286.0,14.0,16.0,682.0,756.0,318.0,117.0,50.0,63.0,210.0,285.0,261.0,17.0,18.0,269.0,344.0,125.0,48.0,26.0,26.0,74.0,132.0,124.0,8.0,5.0,85.0,139.0,50.0,11.0,11.0,10.0,28.0,43.0,37.0,2.0,5.0,42.0,63.0,25.0,7.0,6.0,5.0,9.0,23.0,18.0,1.0,0.0,52.0,50.0,18.0,5.0,6.0,1.0,21.0,21.0,19.0,4.0,3.0,167.0,210.0,86.0,32.0,13.0,15.0,56.0,79.0,69.0,6.0,4.0,247.0,253.0,124.0,55.0,18.0,20.0,75.0,87.0,115.0,3.0,2.0,256.0,306.0,127.0,39.0,19.0,15.0,76.0,102.0,105.0,6.0,5.0,12.0,11.0,8.0,3.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,20.0,14.0,6.0,3.0,1.0,0.0,5.0,7.0,12.0,0.0,2.0
9,590.0,678.0,294.0,91.0,56.0,41.0,165.0,221.0,244.0,13.0,17.0,687.0,755.0,326.0,123.0,63.0,38.0,181.0,261.0,292.0,9.0,18.0,269.0,271.0,147.0,43.0,23.0,22.0,93.0,124.0,123.0,11.0,7.0,97.0,131.0,59.0,20.0,8.0,11.0,22.0,47.0,40.0,3.0,0.0,41.0,53.0,24.0,13.0,2.0,4.0,11.0,20.0,25.0,3.0,0.0,47.0,56.0,21.0,5.0,1.0,5.0,14.0,25.0,18.0,0.0,1.0,198.0,195.0,91.0,27.0,16.0,14.0,47.0,71.0,76.0,7.0,4.0,263.0,306.0,107.0,54.0,21.0,11.0,91.0,102.0,108.0,4.0,4.0,252.0,288.0,128.0,44.0,16.0,20.0,70.0,120.0,129.0,8.0,7.0,15.0,21.0,10.0,1.0,0.0,2.0,2.0,2.0,7.0,2.0,1.0,17.0,18.0,10.0,2.0,0.0,1.0,4.0,5.0,9.0,0.0,1.0
10,623.0,707.0,277.0,108.0,45.0,32.0,176.0,257.0,291.0,13.0,16.0,674.0,746.0,297.0,112.0,50.0,45.0,195.0,299.0,309.0,16.0,7.0,252.0,326.0,131.0,49.0,19.0,18.0,81.0,111.0,121.0,5.0,12.0,113.0,112.0,42.0,20.0,9.0,4.0,31.0,44.0,52.0,3.0,3.0,41.0,62.0,20.0,6.0,5.0,5.0,14.0,20.0,18.0,1.0,1.0,47.0,40.0,30.0,5.0,2.0,4.0,13.0,15.0,18.0,1.0,1.0,172.0,209.0,94.0,26.0,15.0,12.0,52.0,75.0,74.0,2.0,5.0,259.0,255.0,108.0,41.0,21.0,16.0,82.0,96.0,112.0,7.0,5.0,239.0,315.0,108.0,47.0,23.0,19.0,71.0,102.0,131.0,3.0,7.0,24.0,14.0,13.0,2.0,2.0,1.0,6.0,8.0,6.0,1.0,0.0,10.0,17.0,7.0,3.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0
