,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores
Canary,602.6333333333333,686.4,290.1333333333333,104.5,51.233333333333334,41.666666666666664,180.8,252.26666666666668,264.03333333333336,15.0,14.5
Balearic,667.6333333333333,765.6666666666666,317.43333333333334,117.5,57.2,46.3,202.43333333333334,278.6333333333333,287.1666666666667,15.833333333333334,17.133333333333333
Crete,278.1,315.4,129.8,48.1,23.433333333333334,19.1,82.43333333333334,118.06666666666666,119.43333333333334,7.033333333333333,6.766666666666667
Cyprus,98.86666666666666,119.06666666666666,49.8,17.733333333333334,8.866666666666667,7.233333333333333,29.766666666666666,42.3,42.9,2.2333333333333334,2.8666666666666667
Malta,49.833333333333336,59.43333333333333,23.766666666666666,9.066666666666666,3.6666666666666665,3.7,15.066666666666666,21.466666666666665,22.2,0.9,1.0333333333333334
Madeira,41.8,49.766666666666666,20.4,7.133333333333334,4.233333333333333,2.6666666666666665,12.466666666666667,20.633333333333333,18.066666666666666,0.8666666666666667,1.5
Corsica,176.6,205.0,87.0,28.966666666666665,16.0,11.733333333333333,52.86666666666667,73.16666666666667,75.93333333333334,4.433333333333334,4.333333333333333
Sicily,246.8,277.46666666666664,115.86666666666666,44.06666666666667,18.933333333333334,18.2,74.9,98.13333333333334,105.76666666666667,7.033333333333333,5.6
Sardinia,253.83333333333334,288.9,116.46666666666667,46.0,21.966666666666665,17.5,73.5,104.33333333333333,110.3,6.5,6.1
Antillas,14.5,16.9,6.6,2.3666666666666667,1.2666666666666666,0.9,4.5,5.2,6.433333333333334,0.43333333333333335,0.36666666666666664
Azores,15.666666666666666,18.166666666666668,7.533333333333333,2.8333333333333335,1.1333333333333333,1.1666666666666667,4.3,5.8,5.833333333333333,0.36666666666666664,0.4666666666666667
