,0to0,0to1,0to2,0to3,0to4,0to5,0to6,0to7,0to8,0to9,0to10,1to0,1to1,1to2,1to3,1to4,1to5,1to6,1to7,1to8,1to9,1to10,2to0,2to1,2to2,2to3,2to4,2to5,2to6,2to7,2to8,2to9,2to10,3to0,3to1,3to2,3to3,3to4,3to5,3to6,3to7,3to8,3to9,3to10,4to0,4to1,4to2,4to3,4to4,4to5,4to6,4to7,4to8,4to9,4to10,5to0,5to1,5to2,5to3,5to4,5to5,5to6,5to7,5to8,5to9,5to10,6to0,6to1,6to2,6to3,6to4,6to5,6to6,6to7,6to8,6to9,6to10,7to0,7to1,7to2,7to3,7to4,7to5,7to6,7to7,7to8,7to9,7to10,8to0,8to1,8to2,8to3,8to4,8to5,8to6,8to7,8to8,8to9,8to10,9to0,9to1,9to2,9to3,9to4,9to5,9to6,9to7,9to8,9to9,9to10,10to0,10to1,10to2,10to3,10to4,10to5,10to6,10to7,10to8,10to9,10to10
mean,787.3333333333334,713.2333333333333,302.6666666666667,120.86666666666666,58.6,49.1,209.06666666666666,305.96666666666664,274.0,17.4,17.266666666666666,693.0333333333333,632.3333333333334,262.5,108.5,53.266666666666666,43.36666666666667,186.6,270.23333333333335,239.93333333333334,14.733333333333333,15.733333333333333,289.1333333333333,259.3333333333333,107.86666666666666,45.43333333333333,21.833333333333332,17.566666666666666,75.66666666666667,114.76666666666667,97.6,6.266666666666667,6.466666666666667,116.4,109.6,45.53333333333333,18.566666666666666,8.933333333333334,7.366666666666666,30.433333333333334,45.93333333333333,40.96666666666667,2.4,2.8666666666666667,57.93333333333333,54.96666666666667,22.433333333333334,9.5,3.6666666666666665,3.6666666666666665,15.166666666666666,23.433333333333334,21.433333333333334,0.9333333333333333,1.1333333333333333,48.63333333333333,46.833333333333336,19.6,7.233333333333333,4.533333333333333,2.7666666666666666,12.5,22.533333333333335,17.5,0.9333333333333333,1.5666666666666667,204.46666666666667,189.8,80.33333333333333,30.9,16.166666666666668,11.966666666666667,53.43333333333333,80.13333333333334,69.43333333333334,4.566666666666666,4.333333333333333,297.2,268.8666666666667,113.26666666666667,47.666666666666664,21.633333333333333,19.9,81.43333333333334,111.83333333333333,103.2,7.733333333333333,6.4,265.03333333333336,240.83333333333334,96.5,42.06666666666667,20.666666666666668,16.5,68.6,101.0,93.56666666666666,6.033333333333333,5.5,16.6,16.066666666666666,6.133333333333334,2.566666666666667,1.2,0.9333333333333333,4.633333333333334,5.933333333333334,5.866666666666666,0.4666666666666667,0.36666666666666664,18.433333333333334,16.866666666666667,6.833333333333333,2.8,1.1666666666666667,1.2333333333333334,4.5,6.433333333333334,5.433333333333334,0.43333333333333335,0.5666666666666667
std,24.99425221282207,24.40136137148108,16.322891337296692,9.818116025941567,7.161198127456721,8.0402007180298,16.687664933103736,17.58032468676145,18.58438350725758,3.5486762952227497,3.3624019876327673,29.80914385673068,23.708478526109353,14.766574556678034,9.224218497875672,7.114498714176776,5.499111736004049,12.40856211626083,16.020855660418203,16.188402262610474,3.6096932082202313,3.247633975185875,17.274125225285665,17.42636396152508,8.775881263669362,5.691392977381592,4.518798538315806,4.680725948215603,7.452531776856604,11.866159746372741,8.319482742541647,3.0505322693649353,2.5014938065819425,11.935458617656595,7.815104738195486,6.826587643220784,3.927650287590431,2.462593717220109,2.3994731222432595,4.546186983830958,7.709972643331462,6.076996384520173,1.3544307876819284,1.407696414502182,7.1868334273617105,6.310819026212777,4.621414422486671,3.1813031378937175,2.0899320783111643,1.9178532059415367,2.4786444200246915,4.724720997661886,3.892373917372749,0.9444331755018487,0.9371024061116424,7.261059737100855,5.91365068023265,3.460117598161,2.6087826905353344,2.4030631792939112,1.7356968854500257,3.655416387433481,4.8475613018003845,3.9106397748035886,1.0482607379429243,1.0400044208570938,17.11771281316587,12.257017694309685,9.911099084232347,5.5730261698340495,4.518798538315805,3.468909530866052,7.398431023480277,7.079515536382773,8.724453676536026,1.8134237638032753,1.881549862495669,14.252404515826745,17.590619234622505,10.047931107458385,7.087304498712558,4.089375075209797,3.7448815643534683,7.527802872814485,11.191386260726667,7.712059521876469,2.545223157120065,2.966479394838265,13.792760053196657,11.135786776264926,9.357829102801642,5.470506080940702,5.141671091113803,4.133546527686815,8.298732765744502,9.92732210306138,11.285276747353949,2.3850588561137096,2.4600252311574033,4.214916042032073,3.9210601428284875,2.2853858548934634,1.6120950886075682,1.0954451150103321,0.8683449709106095,2.0254132542705237,2.033060090930254,2.374190727215361,0.7760791522613609,0.6686751354593716,4.739295257760365,3.8839486957559526,2.4925175381852225,2.04095988235421,1.11674815279973,1.1351236704106018,3.266866050682741,2.459090571081433,2.2388934048232216,0.5683207771559353,0.8976341829703133
min,736.0,672.0,273.0,104.0,43.0,33.0,182.0,266.0,248.0,11.0,7.0,625.0,573.0,221.0,92.0,42.0,35.0,157.0,237.0,203.0,8.0,7.0,260.0,218.0,94.0,35.0,12.0,9.0,58.0,91.0,80.0,1.0,3.0,94.0,92.0,31.0,13.0,4.0,3.0,22.0,32.0,26.0,0.0,0.0,43.0,42.0,15.0,3.0,0.0,0.0,11.0,14.0,12.0,0.0,0.0,35.0,36.0,12.0,2.0,1.0,1.0,5.0,11.0,11.0,0.0,0.0,173.0,169.0,63.0,20.0,7.0,5.0,36.0,60.0,46.0,2.0,1.0,264.0,234.0,98.0,36.0,11.0,11.0,67.0,94.0,87.0,2.0,0.0,238.0,214.0,80.0,33.0,14.0,8.0,55.0,84.0,73.0,2.0,1.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
max,837.0,767.0,338.0,140.0,74.0,62.0,237.0,337.0,317.0,25.0,24.0,753.0,674.0,286.0,131.0,71.0,59.0,210.0,308.0,270.0,24.0,22.0,328.0,292.0,125.0,57.0,28.0,26.0,91.0,141.0,116.0,12.0,13.0,144.0,130.0,61.0,27.0,14.0,12.0,41.0,63.0,51.0,5.0,6.0,71.0,67.0,32.0,17.0,10.0,8.0,21.0,37.0,29.0,3.0,3.0,61.0,63.0,28.0,12.0,11.0,7.0,22.0,32.0,25.0,5.0,4.0,236.0,225.0,98.0,41.0,24.0,19.0,74.0,99.0,84.0,9.0,9.0,325.0,313.0,138.0,63.0,29.0,28.0,95.0,138.0,126.0,13.0,13.0,288.0,261.0,116.0,52.0,35.0,25.0,87.0,119.0,112.0,11.0,12.0,28.0,24.0,10.0,6.0,4.0,3.0,9.0,10.0,14.0,3.0,2.0,26.0,26.0,13.0,7.0,3.0,4.0,12.0,11.0,10.0,2.0,3.0
