,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores
Canary,787.3333333333334,713.2333333333333,302.6666666666667,120.86666666666666,58.6,49.1,209.06666666666666,305.96666666666664,274.0,17.4,17.266666666666666
Balearic,693.0333333333333,632.3333333333334,262.5,108.5,53.266666666666666,43.36666666666667,186.6,270.23333333333335,239.93333333333334,14.733333333333333,15.733333333333333
Crete,289.1333333333333,259.3333333333333,107.86666666666666,45.43333333333333,21.833333333333332,17.566666666666666,75.66666666666667,114.76666666666667,97.6,6.266666666666667,6.466666666666667
Cyprus,116.4,109.6,45.53333333333333,18.566666666666666,8.933333333333334,7.366666666666666,30.433333333333334,45.93333333333333,40.96666666666667,2.4,2.8666666666666667
Malta,57.93333333333333,54.96666666666667,22.433333333333334,9.5,3.6666666666666665,3.6666666666666665,15.166666666666666,23.433333333333334,21.433333333333334,0.9333333333333333,1.1333333333333333
Madeira,48.63333333333333,46.833333333333336,19.6,7.233333333333333,4.533333333333333,2.7666666666666666,12.5,22.533333333333335,17.5,0.9333333333333333,1.5666666666666667
Corsica,204.46666666666667,189.8,80.33333333333333,30.9,16.166666666666668,11.966666666666667,53.43333333333333,80.13333333333334,69.43333333333334,4.566666666666666,4.333333333333333
Sicily,297.2,268.8666666666667,113.26666666666667,47.666666666666664,21.633333333333333,19.9,81.43333333333334,111.83333333333333,103.2,7.733333333333333,6.4
Sardinia,265.03333333333336,240.83333333333334,96.5,42.06666666666667,20.666666666666668,16.5,68.6,101.0,93.56666666666666,6.033333333333333,5.5
Antillas,16.6,16.066666666666666,6.133333333333334,2.566666666666667,1.2,0.9333333333333333,4.633333333333334,5.933333333333334,5.866666666666666,0.4666666666666667,0.36666666666666664
Azores,18.433333333333334,16.866666666666667,6.833333333333333,2.8,1.1666666666666667,1.2333333333333334,4.5,6.433333333333334,5.433333333333334,0.43333333333333335,0.5666666666666667
