,0to0,0to1,0to2,0to3,0to4,0to5,0to6,0to7,0to8,0to9,0to10,1to0,1to1,1to2,1to3,1to4,1to5,1to6,1to7,1to8,1to9,1to10,2to0,2to1,2to2,2to3,2to4,2to5,2to6,2to7,2to8,2to9,2to10,3to0,3to1,3to2,3to3,3to4,3to5,3to6,3to7,3to8,3to9,3to10,4to0,4to1,4to2,4to3,4to4,4to5,4to6,4to7,4to8,4to9,4to10,5to0,5to1,5to2,5to3,5to4,5to5,5to6,5to7,5to8,5to9,5to10,6to0,6to1,6to2,6to3,6to4,6to5,6to6,6to7,6to8,6to9,6to10,7to0,7to1,7to2,7to3,7to4,7to5,7to6,7to7,7to8,7to9,7to10,8to0,8to1,8to2,8to3,8to4,8to5,8to6,8to7,8to8,8to9,8to10,9to0,9to1,9to2,9to3,9to4,9to5,9to6,9to7,9to8,9to9,9to10,10to0,10to1,10to2,10to3,10to4,10to5,10to6,10to7,10to8,10to9,10to10
mean,602.6333333333333,686.4,290.1333333333333,104.5,51.233333333333334,41.666666666666664,180.8,252.26666666666668,264.03333333333336,15.0,14.5,667.6333333333333,765.6666666666666,317.43333333333334,117.5,57.2,46.3,202.43333333333334,278.6333333333333,287.1666666666667,15.833333333333334,17.133333333333333,278.1,315.4,129.8,48.1,23.433333333333334,19.1,82.43333333333334,118.06666666666666,119.43333333333334,7.033333333333333,6.766666666666667,98.86666666666666,119.06666666666666,49.8,17.733333333333334,8.866666666666667,7.233333333333333,29.766666666666666,42.3,42.9,2.2333333333333334,2.8666666666666667,49.833333333333336,59.43333333333333,23.766666666666666,9.066666666666666,3.6666666666666665,3.7,15.066666666666666,21.466666666666665,22.2,0.9,1.0333333333333334,41.8,49.766666666666666,20.4,7.133333333333334,4.233333333333333,2.6666666666666665,12.466666666666667,20.633333333333333,18.066666666666666,0.8666666666666667,1.5,176.6,205.0,87.0,28.966666666666665,16.0,11.733333333333333,52.86666666666667,73.16666666666667,75.93333333333334,4.433333333333334,4.333333333333333,246.8,277.46666666666664,115.86666666666666,44.06666666666667,18.933333333333334,18.2,74.9,98.13333333333334,105.76666666666667,7.033333333333333,5.6,253.83333333333334,288.9,116.46666666666667,46.0,21.966666666666665,17.5,73.5,104.33333333333333,110.3,6.5,6.1,14.5,16.9,6.6,2.3666666666666667,1.2666666666666666,0.9,4.5,5.2,6.433333333333334,0.43333333333333335,0.36666666666666664,15.666666666666666,18.166666666666668,7.533333333333333,2.8333333333333335,1.1333333333333333,1.1666666666666667,4.3,5.8,5.833333333333333,0.36666666666666664,0.4666666666666667
std,19.817239679272873,22.861803711989072,14.158543986444789,10.314870417224732,7.15678281282065,6.9348362650453765,14.542209669406006,14.857793341829256,18.142127262512393,3.3733233383160273,3.5695068721526266,23.492454156576546,27.79274692449804,17.409239190596534,8.803408430829505,7.270156285376065,6.204281058130415,13.443838053517133,16.37172359079316,20.778110719155176,3.504512690147133,3.549971668981981,15.526062626746524,16.28750314261488,11.127474540755976,5.909373034017435,4.199206274206274,4.404934537068862,6.65755123943835,12.134116432983303,8.394100281759199,2.9417720830318834,2.621967323152247,10.14628633721627,10.01010983209349,7.901985782722266,4.250219737389109,2.542512107363887,2.2078751422302307,4.959722832448668,7.511600224388575,6.216496407640473,1.4307782626184986,1.5024883574816204,6.57100912490161,7.370413048516828,4.651164728681767,3.00497671496324,1.844532149509656,1.6640208884630563,3.161550616208852,4.569262623174578,3.7268827688047543,0.959525744924238,0.8087168778415269,6.326735825597316,5.969366242184622,3.829108116195891,2.270247340821204,2.1605129233480698,1.7681732894739688,3.794127343520585,4.824387281684397,3.5421923206937262,0.8603661343041525,1.0747894741730137,17.732883928278365,12.35955584516107,11.026613573375633,6.370640271688895,4.168850002677908,3.6759547981661744,7.646199566849662,7.6702889993359005,8.862681672991624,1.9419743478779765,1.806756158448603,15.162112490428695,17.188073919362555,9.96453481217204,7.070742697825354,3.6571454228234015,3.9688441816139663,8.155176058904196,10.210654791166325,8.26994280651254,2.9182343898362566,2.6208711370918985,14.560417134355623,13.64664920347697,9.59789248897304,5.271916487225102,5.352945262984271,4.629366531476917,8.443524349954577,10.100642974867844,12.46553870365873,2.6749154031096203,2.2337536060214416,3.6836076768897876,4.269781549770271,2.594423728452741,1.5196036990935664,1.0806553992619585,0.9228890171255885,1.943157757096813,2.0577858874578494,2.329471352390751,0.7279320417946061,0.6686751354593716,4.220911270569779,4.043584389207634,2.7257815498442395,1.9312910338608378,1.0742546199601597,1.1768846465411842,3.0529804544366823,2.6050349127318286,2.614064523559687,0.4901325178535608,0.7302967433402215
min,564.0,624.0,269.0,88.0,33.0,31.0,151.0,218.0,237.0,7.0,4.0,617.0,693.0,261.0,99.0,45.0,35.0,173.0,249.0,245.0,9.0,7.0,249.0,271.0,108.0,37.0,14.0,10.0,65.0,91.0,105.0,3.0,2.0,81.0,100.0,32.0,11.0,4.0,4.0,22.0,30.0,29.0,0.0,0.0,36.0,45.0,17.0,4.0,0.0,0.0,9.0,11.0,14.0,0.0,0.0,31.0,38.0,14.0,3.0,1.0,0.0,5.0,11.0,11.0,0.0,0.0,147.0,185.0,66.0,18.0,7.0,6.0,36.0,58.0,51.0,2.0,1.0,208.0,240.0,97.0,30.0,11.0,11.0,59.0,82.0,88.0,2.0,0.0,228.0,256.0,98.0,37.0,14.0,7.0,58.0,88.0,87.0,3.0,1.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,8.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
max,656.0,718.0,319.0,126.0,72.0,57.0,209.0,277.0,306.0,23.0,22.0,710.0,818.0,344.0,136.0,77.0,63.0,233.0,313.0,323.0,25.0,24.0,301.0,344.0,148.0,61.0,30.0,27.0,99.0,144.0,139.0,14.0,13.0,118.0,139.0,69.0,27.0,14.0,11.0,42.0,56.0,55.0,5.0,6.0,64.0,72.0,37.0,15.0,9.0,7.0,23.0,36.0,30.0,3.0,3.0,56.0,63.0,30.0,11.0,9.0,6.0,21.0,32.0,25.0,4.0,4.0,206.0,241.0,112.0,43.0,23.0,20.0,68.0,97.0,93.0,11.0,9.0,263.0,317.0,136.0,60.0,25.0,28.0,91.0,120.0,123.0,14.0,11.0,288.0,315.0,134.0,59.0,34.0,26.0,91.0,122.0,131.0,14.0,13.0,24.0,27.0,13.0,5.0,4.0,3.0,9.0,9.0,15.0,2.0,2.0,24.0,26.0,15.0,7.0,3.0,4.0,12.0,11.0,12.0,1.0,2.0
