,0to0,0to1,0to2,0to3,0to4,0to5,0to6,0to7,0to8,0to9,0to10,1to0,1to1,1to2,1to3,1to4,1to5,1to6,1to7,1to8,1to9,1to10,2to0,2to1,2to2,2to3,2to4,2to5,2to6,2to7,2to8,2to9,2to10,3to0,3to1,3to2,3to3,3to4,3to5,3to6,3to7,3to8,3to9,3to10,4to0,4to1,4to2,4to3,4to4,4to5,4to6,4to7,4to8,4to9,4to10,5to0,5to1,5to2,5to3,5to4,5to5,5to6,5to7,5to8,5to9,5to10,6to0,6to1,6to2,6to3,6to4,6to5,6to6,6to7,6to8,6to9,6to10,7to0,7to1,7to2,7to3,7to4,7to5,7to6,7to7,7to8,7to9,7to10,8to0,8to1,8to2,8to3,8to4,8to5,8to6,8to7,8to8,8to9,8to10,9to0,9to1,9to2,9to3,9to4,9to5,9to6,9to7,9to8,9to9,9to10,10to0,10to1,10to2,10to3,10to4,10to5,10to6,10to7,10to8,10to9,10to10
mean,785.9666666666667,730.3333333333334,308.7,115.6,60.333333333333336,50.733333333333334,211.16666666666666,288.1333333333333,271.2,18.033333333333335,17.566666666666666,695.6,650.9666666666667,269.96666666666664,105.06666666666666,54.96666666666667,45.0,189.03333333333333,257.6,238.46666666666667,15.166666666666666,16.4,290.8,267.3333333333333,110.26666666666667,43.36666666666667,22.2,18.266666666666666,77.1,109.93333333333334,97.2,6.5,6.6,114.06666666666666,110.83333333333333,45.86666666666667,17.133333333333333,9.033333333333333,7.5,30.366666666666667,42.46666666666667,39.766666666666666,2.3,2.8666666666666667,58.2,56.5,22.933333333333334,9.4,3.7333333333333334,3.8,15.366666666666667,22.566666666666666,21.3,0.9666666666666667,1.1333333333333333,49.166666666666664,48.8,20.4,6.9,4.633333333333334,2.933333333333333,13.1,21.4,17.466666666666665,0.9,1.6333333333333333,204.76666666666668,195.43333333333334,82.93333333333334,29.566666666666666,16.666666666666668,12.533333333333333,54.53333333333333,76.03333333333333,69.1,4.7,4.433333333333334,290.73333333333335,269.7,113.5,45.166666666666664,21.366666666666667,19.733333333333334,80.26666666666667,103.83333333333333,100.3,7.833333333333333,6.4,260.96666666666664,242.43333333333334,98.1,39.96666666666667,20.966666666666665,16.7,67.93333333333334,94.16666666666667,91.36666666666666,6.1,5.566666666666666,16.7,16.666666666666668,6.2,2.3666666666666667,1.2666666666666666,1.0,4.7,5.7,5.866666666666666,0.5666666666666667,0.36666666666666664,18.766666666666666,17.433333333333334,7.133333333333334,2.8333333333333335,1.2666666666666666,1.3,4.5,5.933333333333334,5.633333333333334,0.43333333333333335,0.5666666666666667
std,23.635863068407417,23.89536577973073,16.314051485209582,10.026172646181319,8.180436432726866,8.153414065257586,16.343475621858985,17.884173958025556,18.12485433948605,3.605391875332367,3.3081230571004374,28.63756876600362,23.925867307932254,13.283340183733216,9.164900561318195,7.503945322448642,5.552259558674878,12.229087239554868,15.488816877859396,16.370143835513552,3.760808179224186,3.4099246629356132,16.94901075335199,17.944998983163728,9.198700557906154,5.979755117424778,4.2943427099318505,4.517653749713324,7.072774415392766,11.640989806634181,8.027538807775695,3.1813031378937175,2.429701272967949,11.67648191387532,7.746337658948051,7.0697672659998005,4.3922606961550565,2.566136682108801,2.1774708517784633,4.8243872816843965,7.731410779649351,6.27904744221679,1.3933338832974775,1.4319827906241325,7.298559139805705,6.730015115010951,4.770117712227418,2.9196126337297703,2.0998084203800236,1.972220873131048,2.326508903520663,4.651164728681767,4.2438596616271616,0.99942512211403,0.9371024061116424,7.661292469215006,6.076523506992669,3.8470768123342696,2.4962040146507696,2.3850588561137096,1.6595249285580942,3.661072011837799,4.825221095523982,3.8303086517689526,1.028892943728925,1.0980651740387641,17.193991198477836,12.246557104735201,10.441737645500927,5.8408982146603945,4.155041253235876,3.4514697852017933,7.811279789767039,7.117163970887965,8.60773509398819,1.8964576779190014,1.9596504497122622,14.630938719579547,16.741750413160258,10.163321477168568,6.963368850429111,3.76447398288474,4.1434063392279095,7.767897391511907,10.859870239058816,8.526429498916881,2.62722264960066,2.8958948352023635,13.677273708307297,12.530468613669678,9.739184983248395,5.229118296703522,5.248864135471948,4.284293689021926,8.266814978276548,9.868386771466973,11.32736489225534,2.4118958060642552,2.402345597081339,4.211232926189275,4.011477785428769,2.354745758294703,1.6501480254047292,1.1426929274467312,0.9468641529479986,2.10336348048417,2.183796125383819,2.255007199825395,0.8172001541568766,0.6686751354593716,4.8329567827953746,4.082623677484127,2.750966392370874,2.0692049669866686,1.112106833535071,1.149212624004981,3.170445416330493,2.3183426501874482,2.2816106430407403,0.5683207771559353,0.8976341829703133
min,736.0,688.0,276.0,101.0,44.0,34.0,185.0,247.0,241.0,12.0,8.0,635.0,588.0,233.0,87.0,42.0,36.0,161.0,224.0,201.0,8.0,7.0,262.0,222.0,95.0,33.0,13.0,10.0,61.0,86.0,81.0,1.0,3.0,94.0,92.0,31.0,10.0,5.0,3.0,22.0,29.0,23.0,0.0,1.0,43.0,44.0,15.0,3.0,0.0,0.0,12.0,14.0,12.0,0.0,0.0,34.0,37.0,12.0,2.0,1.0,1.0,6.0,11.0,11.0,0.0,0.0,173.0,178.0,65.0,19.0,8.0,5.0,37.0,57.0,46.0,2.0,1.0,257.0,237.0,95.0,32.0,12.0,11.0,67.0,83.0,82.0,2.0,0.0,233.0,213.0,81.0,31.0,14.0,7.0,53.0,78.0,71.0,2.0,1.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
max,831.0,779.0,345.0,140.0,81.0,65.0,240.0,316.0,309.0,26.0,24.0,758.0,689.0,292.0,124.0,74.0,60.0,209.0,294.0,268.0,24.0,22.0,327.0,295.0,126.0,56.0,28.0,27.0,90.0,133.0,115.0,13.0,13.0,142.0,128.0,64.0,26.0,15.0,12.0,42.0,59.0,51.0,5.0,7.0,70.0,68.0,35.0,16.0,10.0,8.0,21.0,38.0,31.0,3.0,3.0,63.0,65.0,30.0,12.0,11.0,6.0,22.0,29.0,25.0,5.0,4.0,238.0,234.0,104.0,41.0,23.0,19.0,76.0,95.0,85.0,10.0,9.0,316.0,316.0,135.0,59.0,27.0,30.0,93.0,127.0,124.0,14.0,12.0,283.0,261.0,118.0,50.0,36.0,25.0,84.0,114.0,110.0,12.0,12.0,28.0,24.0,10.0,6.0,4.0,3.0,9.0,10.0,13.0,3.0,2.0,27.0,27.0,15.0,7.0,3.0,4.0,12.0,10.0,10.0,2.0,3.0
