,0to0,0to1,0to2,0to3,0to4,0to5,0to6,0to7,0to8,0to9,0to10,1to0,1to1,1to2,1to3,1to4,1to5,1to6,1to7,1to8,1to9,1to10,2to0,2to1,2to2,2to3,2to4,2to5,2to6,2to7,2to8,2to9,2to10,3to0,3to1,3to2,3to3,3to4,3to5,3to6,3to7,3to8,3to9,3to10,4to0,4to1,4to2,4to3,4to4,4to5,4to6,4to7,4to8,4to9,4to10,5to0,5to1,5to2,5to3,5to4,5to5,5to6,5to7,5to8,5to9,5to10,6to0,6to1,6to2,6to3,6to4,6to5,6to6,6to7,6to8,6to9,6to10,7to0,7to1,7to2,7to3,7to4,7to5,7to6,7to7,7to8,7to9,7to10,8to0,8to1,8to2,8to3,8to4,8to5,8to6,8to7,8to8,8to9,8to10,9to0,9to1,9to2,9to3,9to4,9to5,9to6,9to7,9to8,9to9,9to10,10to0,10to1,10to2,10to3,10to4,10to5,10to6,10to7,10to8,10to9,10to10
mean,604.4666666666667,697.5333333333333,295.76666666666665,98.56666666666666,52.666666666666664,43.733333333333334,185.13333333333333,238.13333333333333,256.76666666666665,15.733333333333333,15.0,673.4666666666667,785.9333333333333,326.1666666666667,112.26666666666667,58.96666666666667,48.666666666666664,208.83333333333334,263.46666666666664,281.6333333333333,16.433333333333334,17.7,280.46666666666664,322.93333333333334,133.5,46.46666666666667,24.033333333333335,20.1,84.86666666666666,111.76666666666667,116.33333333333333,7.133333333333334,6.966666666666667,96.93333333333334,118.2,49.13333333333333,16.233333333333334,8.666666666666666,7.566666666666666,29.833333333333332,39.06666666666667,41.53333333333333,2.1666666666666665,2.8333333333333335,50.666666666666664,61.03333333333333,24.733333333333334,8.966666666666667,3.7333333333333334,3.7666666666666666,15.666666666666666,20.366666666666667,22.333333333333332,0.9666666666666667,1.1333333333333333,42.9,51.63333333333333,21.433333333333334,6.933333333333334,4.566666666666666,2.7333333333333334,12.933333333333334,19.633333333333333,17.966666666666665,0.8666666666666667,1.6,177.93333333333334,210.16666666666666,89.66666666666667,28.033333333333335,16.433333333333334,12.333333333333334,54.6,69.33333333333333,74.4,4.766666666666667,4.766666666666667,241.76666666666668,276.1,115.0,41.0,18.9,18.4,74.76666666666667,90.36666666666666,100.8,7.133333333333334,5.633333333333334,250.86666666666667,290.93333333333334,118.36666666666666,43.06666666666667,22.833333333333332,18.0,74.03333333333333,96.83333333333333,106.83333333333333,6.733333333333333,6.233333333333333,14.633333333333333,17.633333333333333,6.733333333333333,2.3,1.3,0.9333333333333333,4.733333333333333,5.033333333333333,6.2,0.5333333333333333,0.36666666666666664,16.133333333333333,18.4,7.833333333333333,2.8,1.1333333333333333,1.2666666666666666,4.433333333333334,5.7,5.666666666666667,0.36666666666666664,0.5
std,20.244596270632798,22.55679931644334,14.731349010805523,10.34469156998704,7.526199449982676,7.781203405436823,15.348218661849787,13.775874296888675,18.49078677077584,3.5226687897528564,3.3630856110997542,26.38277041390164,27.397373814911944,17.216838857057503,7.736761031876828,7.667591148658651,6.509056467104432,13.318598179660816,16.30682813051517,20.50480739818791,3.7936728935147404,3.611762393376244,15.71674559042116,17.051510871137072,11.717213979793826,5.870636065716556,3.9434217010920447,4.4978922266722465,6.75550010059917,11.106640863211876,8.400875706953304,3.0255615988615645,2.4842029642958106,10.068501012746543,10.018603385357833,7.824512029880657,4.399712634294178,2.411657511758871,1.9945327571990963,5.079256891978653,7.629043115003002,5.981196589619687,1.4162440207947151,1.5104996509110153,6.979444367437921,7.774775008756305,4.8061263585878224,2.999808423001816,1.8370390969378303,1.6120950886075684,2.9980836791401333,4.382436209055049,3.8357064118830735,0.9278574999588488,0.7760791522613607,6.326463303539702,5.997029916224527,3.692334401612798,2.2273121784406165,2.329471352390751,1.720732268608305,3.6759547981661744,4.2465672411176225,3.3782604514988064,0.8603661343041525,1.0372377109252813,17.80920593659229,12.570033696312702,11.043279539543757,5.985518923335653,3.9886332749826536,3.744728095035356,7.299503998265201,7.809513797101996,8.604730054472645,2.0791797675398644,1.9771685315872418,14.02383029318146,17.088713758824404,10.61553838354013,7.056422850727971,3.546246194071347,4.132295012334613,7.946733587622256,9.600586667897753,8.184931487085024,2.7883171705668923,2.606137759787173,14.368868007469898,14.105350741482109,9.308814263293995,5.251819608040845,5.608388626736359,4.877817488208826,8.864821344576796,9.214244345065671,12.578260757281228,2.815392829004364,2.4450277952490085,3.652899965906477,4.612451912343169,2.6383554613110576,1.5120207989811927,1.1188047809743373,0.9444331755018489,1.8742048122232848,1.9561280074701644,2.2499042125204443,0.8193072487266863,0.6686751354593716,4.183162747815658,3.935689923306179,2.5875475452347874,1.900997923052068,1.0742546199601597,1.2015315896469556,3.024991688028858,2.561653560791787,2.577533348168272,0.4901325178535608,0.7768193328323317
min,566.0,633.0,274.0,83.0,35.0,31.0,160.0,207.0,230.0,8.0,6.0,614.0,713.0,276.0,95.0,47.0,38.0,182.0,234.0,233.0,9.0,7.0,250.0,278.0,112.0,38.0,14.0,11.0,67.0,82.0,100.0,3.0,4.0,79.0,98.0,32.0,10.0,4.0,4.0,22.0,25.0,29.0,0.0,1.0,38.0,47.0,16.0,4.0,1.0,1.0,9.0,11.0,14.0,0.0,0.0,31.0,38.0,14.0,3.0,1.0,1.0,5.0,11.0,12.0,0.0,0.0,147.0,190.0,67.0,18.0,7.0,6.0,40.0,55.0,51.0,2.0,1.0,205.0,240.0,98.0,26.0,12.0,11.0,61.0,76.0,82.0,2.0,0.0,220.0,258.0,99.0,33.0,16.0,7.0,57.0,79.0,83.0,3.0,1.0,9.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,8.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
max,649.0,729.0,325.0,122.0,74.0,59.0,220.0,261.0,296.0,23.0,22.0,718.0,836.0,355.0,128.0,78.0,67.0,235.0,304.0,316.0,25.0,25.0,305.0,354.0,152.0,58.0,31.0,28.0,97.0,133.0,135.0,14.0,13.0,119.0,141.0,69.0,25.0,14.0,11.0,43.0,55.0,53.0,5.0,7.0,67.0,76.0,37.0,14.0,10.0,7.0,24.0,33.0,31.0,3.0,3.0,58.0,62.0,31.0,11.0,11.0,6.0,22.0,30.0,25.0,4.0,4.0,210.0,248.0,116.0,41.0,23.0,20.0,70.0,94.0,90.0,11.0,9.0,265.0,318.0,138.0,55.0,26.0,27.0,88.0,110.0,120.0,13.0,10.0,283.0,319.0,137.0,58.0,36.0,26.0,93.0,113.0,129.0,16.0,14.0,24.0,28.0,13.0,6.0,4.0,3.0,9.0,9.0,15.0,3.0,2.0,24.0,26.0,15.0,6.0,3.0,4.0,12.0,11.0,11.0,1.0,2.0
