,Canary,Balearic,Crete,Cyprus,Malta,Madeira,Corsica,Sicily,Sardinia,Antillas,Azores
Canary,0.0,34.73333333333335,17.899999999999977,1.5333333333333314,2.133333333333333,1.56666666666667,6.399999999999949,0.0,10.233333333333348,1.3333333333333321,0.0
Balearic,0.0,0.0,2.6333333333333258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999999999999998,0.0
Cyprus,0.0,5.7666666666666515,2.5,0.0,0.0,0.5999999999999996,0.8000000000000043,0.0,0.0,0.0,0.03333333333333366
Malta,0.0,1.5333333333333314,0.7333333333333343,0.3666666666666689,0.0,0.0,0.0,1.1999999999999957,0.3333333333333357,0.0,0.0
Madeira,0.0,3.799999999999997,2.133333333333333,0.0,0.8333333333333339,0.0,0.5666666666666682,1.6666666666666679,0.7666666666666657,0.0,0.33333333333333326
Corsica,0.0,6.399999999999977,5.833333333333343,0.0,1.3000000000000007,0.0,0.0,0.0,1.1666666666666572,0.0,0.0
Sicily,2.599999999999966,12.099999999999966,3.566666666666663,2.6999999999999886,0.0,0.0,4.233333333333334,0.0,6.1333333333333115,2.133333333333333,0.4666666666666668
Sardinia,0.0,3.96666666666664,0.8999999999999915,0.20000000000000284,0.0,0.0,0.0,0.0,0.0,0.2333333333333334,0.0
Antillas,0.0,1.5000000000000018,0.0,0.06666666666666687,0.2999999999999998,0.09999999999999998,0.0,0.0,0.0,0.0,0.0
Azores,1.1999999999999993,1.033333333333335,0.5333333333333341,0.0,0.1333333333333333,0.0,0.06666666666666643,0.0,0.06666666666666732,0.06666666666666671,0.0
