Destination,Availability
Canary,0.514166436570046
Balearic,0.554072432877082
Crete,0.268047613838008
Cyprus,0.103733811412262
Malta,0.0512408493113695
Madeira,0.0413681463057747
Corsica,0.173728562294041
Sicily,0.239506467331511
Sardinia,0.246496973198716
Antillas,0.0145835981375305
Azores,0.0151712225866343
